一;one;In Chinese characters, the number **one** is laid on its side, unlike the Roman numeral I which stands upright. As you would expect, it is written from left to right.;* As a primitive element, the key-word meaning is discarded, and the single horizontal stroke takes on the meaning of _floor_ or _ceiling_ , depending on its position: if it stands above another primitive, it means _ceiling_ , if below, _floor_.;1) [[Piitaa](http://kanji.koohii.com/profile/Piitaa)] 29-6-2006(263): **One** down, 2041 to go. ,).;2) [[findus](http://kanji.koohii.com/profile/findus)] 11-5-2008(98): To learn this **one** kanji, I [recommend](../v4/2000.html) (#2000 薦) this story : _Bambi_ is in a _cave_ , eating a side-dish of _salad_ when trying to learn the kanjis. As he succeed to learn the kanji for "one", you get jealous and decide to shoot him with a _slingshot_. At this moment you hear the police coming, so you hurriedly burn all the proofs into a _fire_ (so you remove the key-words _Bambi_ , _slingshot_ and _fire_ from _recommend_ ). So that when the police arrives, the only remaining clue is a single horizontal bar.;3) [[diracbracket](http://kanji.koohii.com/profile/diracbracket)] 27-2-2008(93): This **one** is too difficult to remember. If the other Kanji are this difficult, I'm giving up.;4) [[breton](http://kanji.koohii.com/profile/breton)] 10-10-2007(44): A sleeping Roman I. ,).;5) [[MeisterLlama](http://kanji.koohii.com/profile/MeisterLlama)] 29-4-2009(36): Tips for your journey:1)check the keywords (for example with saiga-jp kanji dict or jisho.org or <http://dic.yahoo.co.jp> \+ rikaichan). heisig messes up a lot. 2)you'll get mixed up if you use too many penis euphemisms. i try to stick with just "crotch" for penis. 3)try to use the right meaning of the keyword in your stories. for example 抄 "extract" is like an excerpt, not the verb extract.
昌;prosperous;What we mentioned in the previous two frames about 3 of something meaning "everywhere" or "heaps of" was not meant to be taken lightly. In this kanji we see _two suns_ , one atop the other, which, if we are not careful, is easily confused in memory with the _three suns_ of _sparkle_. Focus on the number this way: since we speak of **prosperous** times as _sunny_ , what could be more **prosperous** than a sky with _two suns_ in it? Just be sure to actually SEE them there.;;1) [[atomiton](http://kanji.koohii.com/profile/atomiton)] 25-9-2006(469): If you work from Sun UP to Sun DOWN you will be **prosperous**.;2) [[cutiehuni](http://kanji.koohii.com/profile/cutiehuni)] 14-2-2009(76): I kept getting this mixed up with meanings like 'fortune', so here is a fool proof story! Remember the Vulcan salute from 'Star Trek' (a fiction of the sci-fi genre in which heavenly bodies such as SUNS play a huge role) used with the phrase 'live long and PROSPER'? If that's not enough of a visual reminder, the Vulcan salute shows the fingers parted in to 2 sets of 2, and visually kind of looks like this kanji if you think about it.;3) [[ladymcBeth](http://kanji.koohii.com/profile/ladymcBeth)] 27-8-2007(38): When you are **prosperous** , your gold shines as brightly as two suns.;4) [[Zantonio69](http://kanji.koohii.com/profile/Zantonio69)] 4-2-2008(22): The Egyptians were **prosperous** because every two days, they worshiped the sun god at the sun pyramid. (Thanks for the idea adhmm, for a while I have had trouble remembering which sun is biggest. Got it now!).;5) [[ruschein](http://kanji.koohii.com/profile/ruschein)] 4-1-2009(19): If you work from _sun up_ to _sun down_ you will be **prosperous**.
早;early;This kanji is actually a picture of the first flower of the day, which we shall, in defiance of botanical science, call the _sun_ flower, since it begins with the element for _sun_ and is held upon a stem with leaves (the pictographic representation of the final two strokes). This time, however, we shall ignore the pictograph and imagine _sun_ flowers with _needles_ for stems, which can be plucked and used to darn your socks. The sense of **early** is easily remembered if one thinks of the _sun_ flower as the **early** riser in the garden, because the _sun_ , showing favoritism towards its namesake, shines on it before all the others (see frame 10).;* As a primitive element, this kanji takes the meaning of _sunflower_ , which was used to make the abstract key word _early_ more graphic.;1) [[sutebun](http://kanji.koohii.com/profile/sutebun)] 2-7-2007(290): The _sun_ up is **early** , well before _ten_.;2) [[Christine_Tham](http://kanji.koohii.com/profile/Christine_Tham)] 21-7-2007(34): An **early** sun-flower looks like a miniature sun perched on a needlelike stems.;3) [[Biserka](http://kanji.koohii.com/profile/Biserka)] 24-1-2009(32): **EARLY** , is when you have to start your _day_ before _10_..;4) [[Katerine](http://kanji.koohii.com/profile/Katerine)] 7-5-2009(16): The _sun_ rises **early** \- before _ten_.;5) [[bshug](http://kanji.koohii.com/profile/bshug)] 28-9-2009(7): Sun flower blossom **early**.
旭;rising sun;This character is a sort of nickname for the Japanese flag with its well-known emblem of the **rising sun**. If you can picture two seams running down that great red _sun_ , and then imagine it sitting on a _baseball_ bat for a flagpole, you have a slightly irreverent - but not altogether inaccurate - picture of how the sport has caught on in the Land of the **Rising Sun**.;;1) [[Ameyama](http://kanji.koohii.com/profile/Ameyama)] 11-11-2007(249): 9am carries with it the **rising sun**.;2) [[sutebun](http://kanji.koohii.com/profile/sutebun)] 2-7-2007(137): _Nine planets_ revolve around our **rising sun**.;3) [[xsahjax](http://kanji.koohii.com/profile/xsahjax)] 8-8-2007(60): The sun rises before 9am.;4) [[szreter](http://kanji.koohii.com/profile/szreter)] 30-3-2008(35): When the clock says _9_ on the left, you can see the **rising _sun_** in the east (right).;5) [[jefrsilva](http://kanji.koohii.com/profile/jefrsilva)] 30-3-2008(21): A baseball player hits the sun and it becomes the **rising sun**.
世;generation;We generally consider one **generation** as a period of thirty (or _ten_ plus _ten_ plus _ten_ ) years. If you look at this kanji in its completed form - not in its stroke order - you will see three _tens_. When writing it, think of the lower horizontal lines as  "addition" lines written under numbers to add them up. Thus: _ten_ "plus" _ten_ "plus" _ten_ = thirty. Actually, it's a lot easier doing it with a pencil than reading it in a book.;;1) [[Christine_Tham](http://kanji.koohii.com/profile/Christine_Tham)] 21-7-2007(112): 3 tens = **generation**.;2) [[CarlKenner](http://kanji.koohii.com/profile/CarlKenner)] 5-7-2007(71): They **SAY** a **generation** is _ten_ + _ten_ + _ten_ years, with the big first _ten_ providing a _grounding_ , and the next _ten_ providing a little more _grounding_ for the final _ten_. But I wish the next **generation** didn't always **SAY** " **yo!** ". (ON reading is SEI, KUN reading is yo).;3) [[rakutenka](http://kanji.koohii.com/profile/rakutenka)] 30-6-2007(41): The next **generation** is carried by the previous ones.;4) [[csmdad](http://kanji.koohii.com/profile/csmdad)] 9-6-2008(40): That swing has been in that tree for **generation** s.;5) [[KeroHazel](http://kanji.koohii.com/profile/KeroHazel)] 21-8-2008(25): This looks like a picture of a test tube in a holder. Maybe it will be used to create test tube babies for a future **generation**.
胃;stomach;You will need to refer back to frames 13 and 14 here for the special meaning of the two primitive elements that make up this character: _flesh_ ( _part of the body_ ) and _brain_. What the kanji says, if you look at it, is that the _part of the body_ that keeps the _brain_ in working order is the **stomach**. To keep the elements in proper order, when you write this kanji think of the _brain_ as being  "held up" by the _flesh_.;;1) [[brian44](http://kanji.koohii.com/profile/brian44)] 27-8-2007(321): The _rice field_ is harvested once a _month_ to get food for our **stomach**.;2) [[johanvg](http://kanji.koohii.com/profile/johanvg)] 21-7-2006(41): The **stomach** is the part of the body that digests food (which, in Japan, is mainly rice).;3) [[Danieru](http://kanji.koohii.com/profile/Danieru)] 16-6-2008(35): The **stomach** is the part of the body ( 月 ）that tells my brain ( 田 ) when to eat rice.;4) [[gringozolano](http://kanji.koohii.com/profile/gringozolano)] 9-4-2008(30): The astronaut had an empty _stomach_ because you can't grow **rice** _on the_ **moon**.;5) [[hazyjazy](http://kanji.koohii.com/profile/hazyjazy)] 19-8-2008(27): A field of rice could fill my **stomach** for over a month.
旦;nightbreak;While we normally refer to the start of the day as "daybreak," Japanese commonly refers to it as the "opening up of night" into day. Hence the choice of this rather odd key word, **nightbreak**. The single stroke at the bottom represents the _floor_ (have a peek again at frame 1) or the horizon over which the _sun_ is poking its head;;1) [[Christine_Tham](http://kanji.koohii.com/profile/Christine_Tham)] 21-7-2007(191): A **nightbreak** happens when the sun rises over the horizon (floor).;2) [[tomb771](http://kanji.koohii.com/profile/tomb771)] 9-2-2007(65): It may be easier to think of the keyword "DAYBREAK" or "MORNING" for this kanji (other kanji dictionaries do). Then the mnemonic phrase "SUN rising over the HORIZON" works better. It is an infrequent kanji, but can be found in: 旦夕 （たんせき） morning and evening, or 元旦 （がんたん） New Year's Day.;3) [[Cacawate](http://kanji.koohii.com/profile/Cacawate)] 7-12-2006(43): The _sun_ rising over the horizon is giving the **night** a **break**. - **nightbreak**.;4) [[epsilondelta](http://kanji.koohii.com/profile/epsilondelta)] 15-12-2009(23): HINT: You can substitute **sunrise** in your stories if you don't like the rare (and ambiguous) "nightbreak". Note that [daybreak](../v4/1201.html) (#1201 暁) is already taken. Don't confuse with [rising sun](../v4/27.html) (#27 旭), which is the sun itself, rather than the time of the day.;5) [[Tsuki11](http://kanji.koohii.com/profile/Tsuki11)] 29-10-2007(13): **Nightbreak** s when the _sun_ peeks over the _horizon_ at dawn.
胆;gall bladder;The pieces in this character should be easily recognizable: on the left, the element for _part of the body_ , and on the right, the character for _nightbreak_ , which we have just met. What all of this has to do with the **gall bladder** is not immediately clear. But all we need to do is give a slight twist to the traditional biblical advice about not letting the sun set on your anger (which ancient medicine associated with the choler or bile that the **gall bladder** is supposed to filter out), and change it to  "not letting the _night break_ on your anger " (or your **gall** ) - and the work of remembering the kanji is done. And the improvement is not a bad piece of advice in its own right, since anger, like so many other things, can often be calmed by letting the sun set on it and then "sleeping it off.";;1) [[smiro](http://kanji.koohii.com/profile/smiro)] 11-11-2007(279): The moon has a lot of gall sticking around after sunrise.;2) [[arturo](http://kanji.koohii.com/profile/arturo)] 20-7-2007(124): All the _month_ long I have to start working at _nightbreak_. This really activates my **gall bladder** (=I get angry).;3) [[randomassortmentofletters](http://kanji.koohii.com/profile/randomassortmentofletters)] 31-5-2009(88): For a month（ 月 ）, I was up until nightbreak（ 旦 ） because of my **gall bladder** （ 胆 ）.;4) [[yaban](http://kanji.koohii.com/profile/yaban)] 15-1-2007(49): The **gall bladder** digests the flesh (meat) before nightbreak so you are ready to start your new day.;5) [[LeoOra](http://kanji.koohii.com/profile/LeoOra)] 14-1-2008(26): If you drink all night long (moon), until the night break your **gall bladder** will have problems…
亘;span;"Sunrise, sunset, sunrise, sunset..." goes the song of the Fiddler on the Roof. You can almost see the journey of the sun as it moves from one horizon (the _floor_ ) to its noonday heights in the sky overhead ( _ceiling_ ) and then disappears over the other horizon - day after day, marking the **span** of our lives.;;1) [[Christine_Tham](http://kanji.koohii.com/profile/Christine_Tham)] 21-7-2007(227): The sun **span** s from horizon to horizon in a day.;2) [[nihonnicko](http://kanji.koohii.com/profile/nihonnicko)] 1-5-2008(45): The **span** of the day is the time between the sun goes up and comes down.;3) [[ashman63](http://kanji.koohii.com/profile/ashman63)] 2-2-2008(17): The sunlight **span** s from the floor to the ceiling.;4) [[rakutenka](http://kanji.koohii.com/profile/rakutenka)] 30-6-2007(9): The sun **span** s the heaven and the earth.;5) [[kanpai](http://kanji.koohii.com/profile/kanpai)] 27-1-2011(8): A sun **span** -wich.
凹;concave;You couldn't have asked for a better key word for this kanji! Just have a look at it: a perfect image of a **concave** lens (remembering, of course, that the kanji square off rounded things), complete with its own little  "cave." Now all you have to do is learn how to write it.;;1) [[hella](http://kanji.koohii.com/profile/hella)] 4-3-2007(105): The letter "U" is **concave** ly written.;2) [[xiteru](http://kanji.koohii.com/profile/xiteru)] 9-10-2007(44): **Concave** has a **concave** shape.;3) [[geekdiva](http://kanji.koohii.com/profile/geekdiva)] 30-11-2005(22): Stroke order: I took a step down into the cave. A park ranger threw down a line to me from the opposite top ridge, then waited. My friend went down to the lowest passage to look for me, then the ranger threw another line down to her.;4) [[oohansel](http://kanji.koohii.com/profile/oohansel)] 21-7-2009(11): **Concave** is like a vagina.;5) [[electrohaze](http://kanji.koohii.com/profile/electrohaze)] 16-4-2012(8): Her **CONCAVE** 凹 pussy was fucked by my convex 凸 cock.
凸;convex;Maybe this helps you see how the Japanese have no trouble keeping **convex** distinct from _concave_. Note the odd feeling of the third stroke. If it doesn't feel all that strange now, by the time you are done with this book, it will. There are very few times you will have to write it.;;1) [[rakutenka](http://kanji.koohii.com/profile/rakutenka)] 30-6-2007(108): When I get _vex_ ed, I give people the middle finger.;2) [[xiteru](http://kanji.koohii.com/profile/xiteru)] 9-10-2007(63): **Convex** has a **convex** shape.;3) [[wholefnfro](http://kanji.koohii.com/profile/wholefnfro)] 1-4-2008(33): Sex makes me **convex**.;4) [[taikura](http://kanji.koohii.com/profile/taikura)] 11-11-2008(18): Men are **convex** , women are complex.;5) [[akaiYaMa](http://kanji.koohii.com/profile/akaiYaMa)] 12-1-2009(11): Japanese Idol's make my pants **convex**.
旧;olden times;A _walking stick_ is needed for _days_ of **olden times** , since _days_ , too, get old - at least insofar as we refer to them as the "good old days." The main thing here is to think of "good old days" when you hear the key word **olden times**. The rest will take care of itself.;;1) [[gangsterdesunee](http://kanji.koohii.com/profile/gangsterdesunee)] 17-8-2007(225): Age 18 = **olden times**.;2) [[Christine_Tham](http://kanji.koohii.com/profile/Christine_Tham)] 21-7-2007(86): The old man with a walking stick kept talking of **olden times** all day long.;3) [[ctalbottclark](http://kanji.koohii.com/profile/ctalbottclark)] 20-2-2008(51): In **olden times** , gentlemen used _walking sticks_ every _day_.;4) [[Danieru](http://kanji.koohii.com/profile/Danieru)] 29-10-2007(26): In the **olden times** the sun used a walking stick, cursing and swinging at planets as they whizzed by.;5) [[danroddy](http://kanji.koohii.com/profile/danroddy)] 27-10-2007(14): The number 18 on an **olden times** calculator.
自;oneself;You can think of this kanji as a stylized pictograph of the nose, that little _drop_ that Mother Nature set between your _eyes_. The Japanese refer to themselves by pointing a finger at their nose - giving us an easy way to remember the kanji for **oneself**.;* The same meaning of _oneself_ can be kept when this kanji is used as a primitive element, but you will generally find it better to give it the meaning of _nose_ or _nostrils_ , both because it accords with the story above and because it is the first part of the kanji for _nose_ (Frame 733).;1) [[sutebun](http://kanji.koohii.com/profile/sutebun)] 2-7-2007(140): To use an eyedropper by **oneself** , aim from _above_ to put a _drop_ into the _eye_.;2) [[pikako](http://kanji.koohii.com/profile/pikako)] 14-11-2007(89): Faced with his clone, our hero valiantly cut a _mark_ on his forehead right above his _eye_ so that his comrades could tell his true **oneself** from the enemy.;3) [[indigo360](http://kanji.koohii.com/profile/indigo360)] 22-7-2008(77): I know this, but I am an idiot and forgot…. The way I remember this is to think of the way in which Japanese people point to themselves if they are unsure of who is being spoken to. In the west, we usually say, "me?" and point to ourselves (pointing to the chest), but in Japan, people say, "ore/boku/atashi?" and point directly at their nose, the drop between their eyes. True story.;4) [[wraxus](http://kanji.koohii.com/profile/wraxus)] 16-8-2008(40): Eyedrops are applied by **ONESELF**.;5) [[kiisu](http://kanji.koohii.com/profile/kiisu)] 22-1-2008(26): Me, myself and eye.
